Description,Type,Location
BUG: sleeping function called from invalid context in console_lock,C reproducer,/home/sanan/research/guild_bugs/rep_022520.config_1afd37c6a335369a7927c732a93c0558b64e40bb_05072023/crashes/24ff71d8c2cb5f4a4e181db4ad2f4d76bc8e3907
WARNING in __folio_mark_dirty,C reproducer,/home/sanan/research/guild_bugs/rep_022520.config_1afd37c6a335369a7927c732a93c0558b64e40bb_05072023/crashes/62354553a886c8b88fb5d75ad0108d1806c76405
KASAN: slab-use-after-free Read in lbmIODone,Syz reproducer,/home/sanan/research/guild_bugs/rep_022520.config_1afd37c6a335369a7927c732a93c0558b64e40bb_05072023/crashes/407c19bc6c2e8d50a802230cbc615d5f845a6e76
KASAN: slab-use-after-free Write in sco_sock_timeout,Syz reproducer,/home/sanan/research/guild_bugs/rep_022520.config_1afd37c6a335369a7927c732a93c0558b64e40bb_05072023/crashes/c7ed951cf7bac13fbb771774bc4ff97eaf1ccb29
WARNING in floppy_interrupt,Syz reproducer,/home/sanan/research/guild_bugs/rep_022520.config_1afd37c6a335369a7927c732a93c0558b64e40bb_05072023/crashes/af2021e1edc0c56dc2296b260c060279b3f7f820
KASAN: slab-use-after-free Read in hci_conn_hash_flush,Syz reproducer,/home/sanan/research/guild_bugs/rep_060720.config_bb57768215fb6b557a1ef95a3d87b011efe2e267_04302023/crashes/d4394c45538b1c63110045a196abef2976dafb88
INFO: task hung in hub_port_init,Syz reproducer,/home/sanan/research/guild_bugs/rep_060720.config_bb57768215fb6b557a1ef95a3d87b011efe2e267_04302023/crashes/156a6a652798fcb5152bf2047a924520b9142814
WARNING in btrfs_block_rsv_release,C reproducer,/home/sanan/research/guild_bugs/rep_060720.config_bb57768215fb6b557a1ef95a3d87b011efe2e267_04302023/crashes/8ec88d9d8da74f692ffae9d61f025a0a6aacd3ee
BUG: workqueue lockup,Syz reproducer,/home/sanan/research/guild_bugs/rep_060720.config_bb57768215fb6b557a1ef95a3d87b011efe2e267_04302023/crashes/efb8c5fe01ecb5116825ce2409485c164c048f88
INFO: rcu detected stall in scsi_error_handler,Syz reproducer,/home/sanan/research/guild_bugs/rep_060720.config_bb57768215fb6b557a1ef95a3d87b011efe2e267_04302023/crashes/58e66d653b7b9f41433b227c310dc2b67ab96892
BUG: soft lockup in smp_call_function,Syz reproducer,/home/sanan/research/guild_bugs/rep_060720.config_bb57768215fb6b557a1ef95a3d87b011efe2e267_04302023/crashes/86fc217b03c88aa11dd51130d3a13f0cfebe9db7
WARNING in _copy_from_iter,C reproducer,/home/sanan/research/guild_bugs/rep_060720.config_bb57768215fb6b557a1ef95a3d87b011efe2e267_04302023/crashes/5ae29a0292a3a30d42fbb781181faeaed5c45f0a
BUG: sleeping function called from invalid context in console_lock,C reproducer,/home/sanan/research/guild_bugs/rep_060720.config_bb57768215fb6b557a1ef95a3d87b011efe2e267_04302023/crashes/24ff71d8c2cb5f4a4e181db4ad2f4d76bc8e3907
KASAN: null-ptr-deref Read in filemap_fault,Syz reproducer,/home/sanan/research/guild_bugs/rep_060720.config_bb57768215fb6b557a1ef95a3d87b011efe2e267_04302023/crashes/1d55e6e301c3b6ab3bacc810af22ea3eb5d68e58
WARNING in ieee80211_bss_info_change_notify,Syz reproducer,/home/sanan/research/guild_bugs/rep_090421.config_72d6cbb533d4309734606027fe083c4edb0aa7aa_05112023/crashes/62987e9db7b38d1ef5b1810f8c9f7d5d70ec4479
WARNING: ODEBUG bug in netdev_run_todo,Syz reproducer,/home/sanan/research/guild_bugs/rep_090421.config_72d6cbb533d4309734606027fe083c4edb0aa7aa_05112023/crashes/fb96ef3f5640fb22f07c199adcdbcf418d3efd39
WARNING in hci_conn_timeout,Syz reproducer,/home/sanan/research/guild_bugs/rep_090421.config_72d6cbb533d4309734606027fe083c4edb0aa7aa_05112023/crashes/5e825254fe8b706c3055380f64e655d635c5b449
KASAN: slab-use-after-free Read in lbmIODone,Syz reproducer,/home/sanan/research/guild_bugs/rep_090421.config_72d6cbb533d4309734606027fe083c4edb0aa7aa_05112023/crashes/407c19bc6c2e8d50a802230cbc615d5f845a6e76
